what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559808506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559811007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340559812435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340559812744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340559815288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559816842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559828200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340559837459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559838465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559842002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1340559848667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340559849485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559849781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559889815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340559905233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340559905619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340559906568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340559913492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560145421
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340560149846
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340560154185
closed,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340560154185
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1340560155421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340560165766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560166218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560278060
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340560278066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560293430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560308374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1340560324318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340560338723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560339784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560457098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560462710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560464755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1340560472414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560472751
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340560853860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340560853875
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340560853881
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1340560861765
